Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,3Ssn Porch,Fence,Mo Sold,Yr Sold,Sale Type,SalePrice,has_pool,bath_count,deck_porch_sf,qual_cond
109,60,RL,,13517,0,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,No,GLQ,533.0,Unf,0.0,192.0,725.0,5,1,SBrkr,725,754,0,1479,3,1,4,6,Typ,0,0.0,Attchd,1976.0,RFn,2.0,475.0,3.0,3.0,Y,0,0,3,2010,WD ,130500,1,3.0,44,48
544,60,RL,43.0,11492,0,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,No,GLQ,637.0,Unf,0.0,276.0,913.0,5,1,SBrkr,913,1209,0,2122,4,1,4,8,Typ,1,3.0,Attchd,1997.0,RFn,2.0,559.0,3.0,3.0,Y,0,0,4,2009,WD ,220000,1,4.0,74,35
153,20,RL,68.0,7922,0,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,No,GLQ,731.0,Unf,0.0,326.0,1057.0,3,1,SBrkr,1057,0,0,1057,3,1,4,5,Typ,0,0.0,Detchd,1953.0,Unf,1.0,246.0,3.0,3.0,Y,0,0,1,2010,WD ,109000,1,2.0,52,35
318,60,RL,73.0,9802,0,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,384.0,384.0,4,1,SBrkr,744,700,0,1444,3,1,3,7,Typ,0,0.0,BuiltIn,2007.0,Fin,2.0,400.0,3.0,3.0,Y,0,0,4,2010,WD ,174000,1,3.0,100,25
255,50,RL,82.0,14235,0,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,No,Unf,0.0,Unf,0.0,676.0,676.0,3,1,SBrkr,831,614,0,1445,3,1,3,6,Typ,0,0.0,Detchd,1957.0,Unf,2.0,484.0,3.0,3.0,N,0,0,3,2010,WD ,138500,1,2.0,59,48
138,20,RL,137.0,16492,0,IR1,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,No,ALQ,247.0,Rec,713.0,557.0,1517.0,5,1,SBrkr,1888,0,0,1888,2,1,4,6,Mod,1,4.0,Attchd,1966.0,Fin,2.0,578.0,3.0,3.0,Y,0,0,6,2010,WD ,190000,1,3.0,0,36
2827,180,RM,35.0,3675,0,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,4,GLQ,547.0,Unf,0.0,0.0,547.0,4,1,SBrkr,1072,0,0,1072,2,1,3,5,Typ,0,0.0,Basment,2005.0,Fin,2.0,525.0,3.0,3.0,Y,0,0,6,2006,New,140000,1,3.0,44,30
145,20,RL,,12160,0,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,No,Rec,1000.0,Unf,0.0,188.0,1188.0,2,1,SBrkr,1188,0,0,1188,3,1,3,6,Typ,0,0.0,Attchd,1959.0,RFn,2.0,531.0,3.0,3.0,Y,0,MnPrv,5,2010,COD,142000,1,2.0,0,25
1942,20,RL,,15783,0,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,No,Rec,292.0,Unf,0.0,632.0,924.0,3,1,SBrkr,924,0,0,924,2,1,3,6,Typ,0,0.0,Detchd,1952.0,Unf,1.0,420.0,3.0,3.0,Y,0,MnPrv,6,2007,WD ,112500,1,1.0,324,25
1956,60,RL,70.0,11606,0,IR1,HLS,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,Av,Rec,650.0,Unf,0.0,390.0,1040.0,3,1,SBrkr,1040,1040,0,2080,5,1,2,9,Typ,2,3.0,Attchd,1969.0,Unf,2.0,504.0,3.0,3.0,Y,0,0,9,2007,WD ,135000,1,4.0,335,25
